Age,Age_x,Age_y,Education,Gender,House Loan,Income,Marrital Status,No of Dependents,Personal loan,Price,Profession,Salary,Total Salary,Wife Salary,Wife Working,age_max,age_min,income_max,income_min
45-60,31-37,37.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1600000.0,Salaried,1900000.0,3200000.0,1300000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1500000.0,Salaried,2300000.0,3600000.0,1300000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,800000.0,Business,1900000.0,1900000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Graduate,Female,Yes,1500001 - 3000000,Married,3.0,No,1600000.0,Business,1800000.0,2900000.0,1100000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1500000.0,Salaried,2700000.0,4100000.0,1400000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,700000.0,Business,1900000.0,1900000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,37.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1200000.0,Salaried,2800000.0,2800000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,31-37,36.0,Graduate,Female,No,0 - 500000,Married,4.0,No,1100000.0,Business,200000.0,200000.0,0.0,No,37.0,31.0,500000.0,0.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,31-37,36.0,Graduate,Female,No,0 - 500000,Married,4.0,No,1100000.0,Business,200000.0,200000.0,0.0,No,37.0,31.0,500000.0,0.0
45-60,31-37,36.0,Graduate,Male,No,0 - 500000,Married,4.0,No,1100000.0,Business,200000.0,200000.0,0.0,No,37.0,31.0,500000.0,0.0
45-60,24-30,27.0,Graduate,Female,No,1500001 - 3000000,Single,0.0,No,1600000.0,Business,2400000.0,2400000.0,0.0,No,30.0,24.0,3000000.0,1500001.0
45-60,38-44,41.0,Graduate,Female,No,1000001 - 1500000,Married,3.0,No,700000.0,Business,1100000.0,1100000.0,0.0,No,44.0,38.0,1500000.0,1000001.0
45-60,38-44,41.0,Graduate,Female,No,1000001 - 1500000,Married,3.0,No,1300000.0,Salaried,1400000.0,2100000.0,700000.0,Yes,44.0,38.0,1500000.0,1000001.0
45-60,38-44,43.0,Graduate,Female,No,1000001 - 1500000,Married,3.0,No,1500000.0,Business,1300000.0,2200000.0,900000.0,Yes,44.0,38.0,1500000.0,1000001.0
45-60,45-60,45.0,Graduate,Female,Yes,1500001 - 3000000,Married,4.0,Yes,1200000.0,Business,1800000.0,1800000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,49.0,Post Graduate,Female,No,1500001 - 3000000,Married,4.0,No,3000000.0,Salaried,2500000.0,4500000.0,2000000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,49.0,Post Graduate,Female,No,1500001 - 3000000,Married,4.0,No,1300000.0,Business,2000000.0,2000000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,49.0,Post Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1600000.0,Salaried,2500000.0,4300000.0,1800000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,45.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1600000.0,Salaried,2700000.0,4500000.0,1800000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,46.0,Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,800000.0,Salaried,2100000.0,2100000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,51.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,1100000.0,Business,2200000.0,2200000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,51.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1500000.0,Salaried,2700000.0,4000000.0,1300000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,51.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,1100000.0,Salaried,2200000.0,2200000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,31-37,31.0,Graduate,Female,Yes,500001 - 1000000,Married,3.0,Yes,700000.0,Business,900000.0,1300000.0,400000.0,Yes,37.0,31.0,1000000.0,500001.0
45-60,31-37,35.0,Post Graduate,Female,No,500001 - 1000000,Married,4.0,No,700000.0,Business,900000.0,1400000.0,500000.0,Yes,37.0,31.0,1000000.0,500001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,31-37,36.0,Graduate,Male,No,0 - 500000,Married,4.0,No,1100000.0,Business,200000.0,200000.0,0.0,No,37.0,31.0,500000.0,0.0
45-60,24-30,27.0,Graduate,Female,No,1500001 - 3000000,Single,0.0,No,1600000.0,Business,2400000.0,2400000.0,0.0,No,30.0,24.0,3000000.0,1500001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,38-44,41.0,Post Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1200000.0,Business,1600000.0,2200000.0,600000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,41.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,4.0,No,1500000.0,Salaried,1900000.0,3000000.0,1100000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,42.0,Graduate,Female,Yes,1500001 - 3000000,Married,4.0,Yes,1100000.0,Salaried,2100000.0,2100000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,42.0,Post Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1600000.0,Salaried,2400000.0,3700000.0,1300000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,44.0,Post Graduate,Female,No,1500001 - 3000000,Married,4.0,No,1600000.0,Salaried,2700000.0,2700000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,44.0,Post Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1500000.0,Business,2000000.0,3800000.0,1800000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,41.0,Graduate,Female,No,1500001 - 3000000,Married,2.0,No,3000000.0,Salaried,2900000.0,4700000.0,1800000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,41.0,Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1100000.0,Salaried,2600000.0,2600000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,39.0,Post Graduate,Female,No,1500001 - 3000000,Married,3.0,No,700000.0,Business,1600000.0,1600000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,39.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,1500000.0,Business,2200000.0,3600000.0,1400000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,39.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1200000.0,Salaried,1900000.0,1900000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,39.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,1500000.0,Salaried,2700000.0,4000000.0,1300000.0,Yes,44.0,38.0,3000000.0,1500001.0
45-60,38-44,43.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,1100000.0,Salaried,2400000.0,2400000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,42.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1300000.0,Salaried,2900000.0,2900000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,42.0,Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,800000.0,Salaried,2700000.0,2700000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,38-44,42.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,700000.0,Business,1800000.0,1800000.0,0.0,No,44.0,38.0,3000000.0,1500001.0
45-60,31-37,31.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,Yes,1600000.0,Salaried,1800000.0,2600000.0,800000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Post Graduate,Female,No,1500001 - 3000000,Married,4.0,No,1100000.0,Business,2000000.0,2000000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,37.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,No,1200000.0,Salaried,1700000.0,2500000.0,800000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,35.0,Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1600000.0,Salaried,1800000.0,2900000.0,1100000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Graduate,Female,No,1500001 - 3000000,Married,3.0,No,800000.0,Business,1600000.0,1600000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,1200000.0,Salaried,1700000.0,2600000.0,900000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1600000.0,Salaried,1800000.0,2700000.0,900000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,32.0,Graduate,Female,No,1500001 - 3000000,Married,0.0,No,1600000.0,Salaried,1600000.0,2400000.0,800000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,800000.0,Salaried,1600000.0,1600000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Graduate,Female,Yes,1500001 - 3000000,Married,3.0,No,1500000.0,Salaried,2200000.0,3600000.0,1400000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Graduate,Female,No,1500001 - 3000000,Married,3.0,Yes,1500000.0,Salaried,2200000.0,3100000.0,900000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,31.0,Graduate,Female,No,1500001 - 3000000,Single,0.0,No,1500000.0,Business,2000000.0,2000000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,31.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,700000.0,Salaried,1800000.0,1800000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,37.0,Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1200000.0,Business,1700000.0,1700000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,37.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1600000.0,Salaried,1900000.0,3200000.0,1300000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1500000.0,Salaried,2300000.0,3600000.0,1300000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,800000.0,Business,1900000.0,1900000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,36.0,Graduate,Female,Yes,1500001 - 3000000,Married,3.0,No,1600000.0,Business,1800000.0,2900000.0,1100000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1500000.0,Salaried,2700000.0,4100000.0,1400000.0,Yes,37.0,31.0,3000000.0,1500001.0
45-60,31-37,34.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,700000.0,Business,1900000.0,1900000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,31-37,37.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1200000.0,Salaried,2800000.0,2800000.0,0.0,No,37.0,31.0,3000000.0,1500001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Female,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Female,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1500000.0,Salaried,1500000.0,1500000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,29.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,Yes,700000.0,Business,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Male,No,500001 - 1000000,Single,0.0,Yes,800000.0,Salaried,800000.0,800000.0,0.0,No,30.0,24.0,1000000.0,500001.0
45-60,24-30,28.0,Graduate,Male,Yes,500001 - 1000000,Married,3.0,Yes,700000.0,Salaried,900000.0,900000.0,0.0,No,30.0,24.0,1000000.0,500001.0
45-60,24-30,29.0,Post Graduate,Male,No,500001 - 1000000,Married,0.0,No,110000.0,Salaried,900000.0,1700000.0,800000.0,Yes,30.0,24.0,1000000.0,500001.0
45-60,24-30,26.0,Post Graduate,Male,No,500001 - 1000000,Single,0.0,No,800000.0,Salaried,800000.0,800000.0,0.0,No,30.0,24.0,1000000.0,500001.0
45-60,24-30,27.0,Graduate,Male,No,500001 - 1000000,Single,0.0,Yes,700000.0,Salaried,800000.0,800000.0,0.0,Yes,30.0,24.0,1000000.0,500001.0
45-60,24-30,29.0,Post Graduate,Male,No,500001 - 1000000,Single,2.0,No,1200000.0,Salaried,900000.0,900000.0,0.0,No,30.0,24.0,1000000.0,500001.0
45-60,24-30,30.0,Graduate,Male,No,500001 - 1000000,Married,0.0,No,700000.0,Salaried,800000.0,1300000.0,500000.0,Yes,30.0,24.0,1000000.0,500001.0
45-60,24-30,29.0,Post Graduate,Male,No,500001 - 1000000,Married,0.0,No,1200000.0,Business,900000.0,1600000.0,700000.0,Yes,30.0,24.0,1000000.0,500001.0
45-60,24-30,28.0,Graduate,Male,No,500001 - 1000000,Single,0.0,Yes,700000.0,Salaried,900000.0,900000.0,0.0,No,30.0,24.0,1000000.0,500001.0
45-60,24-30,27.0,Post Graduate,Male,No,500001 - 1000000,Single,0.0,No,700000.0,Salaried,900000.0,900000.0,0.0,No,30.0,24.0,1000000.0,500001.0
45-60,31-37,31.0,Graduate,Male,Yes,500001 - 1000000,Married,3.0,Yes,700000.0,Business,900000.0,1300000.0,400000.0,Yes,37.0,31.0,1000000.0,500001.0
45-60,31-37,35.0,Post Graduate,Male,No,500001 - 1000000,Married,4.0,No,700000.0,Business,900000.0,1400000.0,500000.0,Yes,37.0,31.0,1000000.0,500001.0
45-60,38-44,41.0,Graduate,Female,No,1000001 - 1500000,Married,3.0,No,700000.0,Business,1100000.0,1100000.0,0.0,No,44.0,38.0,1500000.0,1000001.0
45-60,38-44,41.0,Graduate,Female,No,1000001 - 1500000,Married,3.0,No,1300000.0,Salaried,1400000.0,2100000.0,700000.0,Yes,44.0,38.0,1500000.0,1000001.0
45-60,38-44,43.0,Graduate,Female,No,1000001 - 1500000,Married,3.0,No,1500000.0,Business,1300000.0,2200000.0,900000.0,Yes,44.0,38.0,1500000.0,1000001.0
45-60,45-60,45.0,Graduate,Female,Yes,1500001 - 3000000,Married,4.0,Yes,1200000.0,Business,1800000.0,1800000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,49.0,Post Graduate,Female,No,1500001 - 3000000,Married,4.0,No,3000000.0,Salaried,2500000.0,4500000.0,2000000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,49.0,Post Graduate,Female,No,1500001 - 3000000,Married,4.0,No,1300000.0,Business,2000000.0,2000000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,49.0,Post Graduate,Female,No,1500001 - 3000000,Married,3.0,No,1600000.0,Salaried,2500000.0,4300000.0,1800000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,45.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,No,1600000.0,Salaried,2700000.0,4500000.0,1800000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,46.0,Graduate,Female,Yes,1500001 - 3000000,Married,3.0,Yes,800000.0,Salaried,2100000.0,2100000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,51.0,Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,1100000.0,Business,2200000.0,2200000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,45-60,51.0,Post Graduate,Female,No,1500001 - 3000000,Married,2.0,No,1500000.0,Salaried,2700000.0,4000000.0,1300000.0,Yes,60.0,45.0,3000000.0,1500001.0
45-60,45-60,51.0,Post Graduate,Female,Yes,1500001 - 3000000,Married,2.0,Yes,1100000.0,Salaried,2200000.0,2200000.0,0.0,No,60.0,45.0,3000000.0,1500001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,2.0,Yes,800000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Married,0.0,No,1500000.0,Salaried,1300000.0,2100000.0,800000.0,Yes,30.0,24.0,1500000.0,1000001.0
45-60,24-30,30.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1600000.0,Business,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,700000.0,Salaried,1100000.0,1100000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,27.0,Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1100000.0,Business,1200000.0,1200000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
45-60,24-30,28.0,Post Graduate,Male,No,1000001 - 1500000,Single,0.0,No,1200000.0,Salaried,1400000.0,1400000.0,0.0,No,30.0,24.0,1500000.0,1000001.0
